UserID,Item7,Item9,Item10,Item12,Item13,Item15,Item16,Item18,Item19,Item20,Item21,Item22,Item23,Item24
4cefb22053238d2d9c4234121d071315,1,3,3,3,3,0,0,0,0,0,3,2,2,0
e0accefd608763334ccce92a856a00a6,0,0,0,1,1,0,0,1,2,3,3,1,1,3
e3d75e1f43d97a4818f6a49bbbad9e3d,2,4,5,4,5,0,0,4,3,0,1,3,3,0
bf1dfb2546bdcf27624c2c9610019a8a,2,4,5,4,5,3,3,3,5,0,4,4,4,4
f9d2f50e9c9f2e9ff4be7149888c68b4,1,5,5,5,5,0,0,0,0,3,4,4,4,0
c18fa958876b2e9c57af8df4e35f3665,1,4,5,4,5,4,5,0,0,0,0,3,3,0
ddabf9055354d0824f4dff622fcf8a93,2,4,5,4,5,3,4,3,4,3,3,2,2,3
5d66edbedafbd306cbfaef823de65804,1,5,5,5,5,5,5,5,5,4,4,4,4,4
5215b8ed930c7f3eb5d6f6481d612c5e,2,5,5,5,5,3,4,4,4,4,4,4,4,3
8ccc5fd8840fff6f210dc045a90e647e,1,4,5,4,5,0,0,3,4,0,0,2,2,3
6f08f4fb5602587060fafd5eb1f65aa8,0,3,4,3,4,0,0,1,1,1,2,1,1,3
b71de9b003f8c22b77c0d30631f0f45a,1,4,4,3,3,0,0,3,3,1,0,1,1,3
519500e0bf8cc868fddc3618c2aac000,2,4,5,5,5,0,0,3,4,0,3,2,2,3
79a02dc5eefa7db7530d30cae8a1ddfb,1,4,3,4,3,0,0,0,0,0,3,3,3,0
b9dfa60b234873c2b12e64c550a75abb,1,4,5,4,5,4,2,3,2,4,4,2,2,3
3d159061b2e1a6a071378d358cd9a7ad,2,4,5,4,5,0,0,4,3,0,3,2,2,0
fbf7c083418db94cf09a2b52d61bf285,2,3,4,3,3,0,0,3,2,2,3,1,2,3
4f074f4dc68256a2a6967966c14576b1,1,4,5,4,5,3,5,3,5,0,3,3,3,0
c3800976d29609a021fca7b0fbe0364e,1,5,5,5,5,4,3,4,4,0,2,4,4,4
490f5e955a3b4935d7cf91abf6dec2e5,1,4,5,5,5,4,3,4,1,0,3,3,1,3
028db79d60d57b7303b058ed85686ab6,1,4,5,5,5,4,5,4,5,4,4,4,2,3
23c5e50782bc86b28e6d52f49202ba52,1,3,3,3,3,4,5,4,4,2,2,2,2,1
a07874b4505a72730706abd8c772270a,2,5,5,3,3,4,5,4,5,3,3,4,3,3
464dd92c2b388d183ed34f970a04db55,1,5,5,5,5,4,4,3,3,4,4,4,4,4
1b0c2fa01af22b9eb3392c4efa466053,1,4,4,4,5,3,3,3,2,0,0,3,3,0
96327401deea6f92965217487e71f274,1,4,5,4,3,4,4,4,5,0,3,3,3,3
591845c3989424aef538f0f5ead609da,1,3,5,3,5,1,2,1,1,2,3,3,3,1
a5f698ef9d76e5843ebafc8840e6726e,1,3,5,1,3,0,0,3,5,2,0,2,2,0
2a9dfe8cc586556b960e5c01651d0a4c,2,5,5,4,5,3,5,3,5,4,4,4,4,4
13294da826c63623202f77678d7e47df,1,5,5,4,5,4,3,4,1,2,2,4,4,3
51fde4d6f172c17ce59c059959ff6131,2,3,3,4,3,0,0,3,2,1,0,0,0,1
aebda2ef9ceb52a4a6219b310753e3d0,2,3,3,4,5,4,1,2,2,2,3,3,2,1
2482794f0690a0948a2220090fbdb222,1,3,5,3,3,0,0,0,0,4,3,4,3,0
1d4c2244ef54557ee96dc778750f3099,1,0,0,4,5,4,3,3,3,0,0,3,3,3
27ccd9092d9a8eb2dc3031f1323809fa,1,4,3,4,3,0,0,3,4,3,3,4,2,4
ffc393eba8982af71c79fb862610473f,1,3,3,3,3,0,0,3,2,0,2,2,2,2
44fde80f554334dc50f1c5e65bc5d891,1,5,5,5,5,5,5,5,5,4,4,4,3,3
ebeac9734e241eb14bfc8abdb5930678,1,3,5,3,5,3,5,3,5,0,0,2,2,0
5400be3e4ec7ab52c2fa6af0134c6554,1,4,3,4,5,4,3,4,5,3,3,3,3,2
e2c035bbf5e6de400c306da03f0488ac,1,4,3,3,3,3,3,1,1,1,3,0,3,3
b39979f10d37f4ca4006f14eaec4a439,2,4,4,4,5,0,0,4,4,1,3,3,4,3
4c274cd70b2e5c04cee720bfbb03bc2b,2,3,2,1,1,0,0,2,3,3,2,1,2,3
a186bf4987a3b8f1be01aead7d20dbcf,1,3,3,3,3,0,0,3,5,0,3,0,0,1
db171bae74369a6c66df5deedcfbf055,0,3,4,3,4,0,0,0,0,1,1,1,0,1
d8ef142ee71a07953d43ec27b9568e1a,0,3,3,3,3,0,0,4,3,1,0,0,0,3
3ef2620633fbad06ec989597d0b3f58b,2,4,3,5,5,0,0,4,5,0,3,0,0,3
27c3ca28cb646702236733213921eb23,2,4,4,4,5,4,5,4,5,3,4,2,2,4
85c8a64d4a20c5e16648cb1a3329913b,1,4,5,4,3,0,0,0,0,3,4,2,2,4
