UserID,Unidade,Nivel,Modalidade
4cefb22053238d2d9c4234121d071315,Instituto de Química e Biotecnologia - IQB,Graduação (bacharelado),Presencial
e0accefd608763334ccce92a856a00a6,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
e3d75e1f43d97a4818f6a49bbbad9e3d,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
bf1dfb2546bdcf27624c2c9610019a8a,Faculdade de Medicina - FAMED,Doutorado,Presencial
f9d2f50e9c9f2e9ff4be7149888c68b4,Faculdade de Odontologia - FOUFAL,Graduação (bacharelado),Presencial
c18fa958876b2e9c57af8df4e35f3665,Faculdade de Direito - FDA,Técnico,Educação a Distância
ddabf9055354d0824f4dff622fcf8a93,Faculdade de Letras - FALE,Graduação (licenciatura),Presencial
5d66edbedafbd306cbfaef823de65804,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Presencial
5215b8ed930c7f3eb5d6f6481d612c5e,Centro de Educação - CEDU,Mestrado,Presencial
8ccc5fd8840fff6f210dc045a90e647e,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
6f08f4fb5602587060fafd5eb1f65aa8,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
b71de9b003f8c22b77c0d30631f0f45a,Faculdade de Letras - FALE,Graduação (licenciatura),Presencial
519500e0bf8cc868fddc3618c2aac000,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
79a02dc5eefa7db7530d30cae8a1ddfb,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial
b9dfa60b234873c2b12e64c550a75abb,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Doutorado,Presencial
3d159061b2e1a6a071378d358cd9a7ad,Faculdade de Medicina - FAMED,Doutorado,Presencial
fbf7c083418db94cf09a2b52d61bf285,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial
4f074f4dc68256a2a6967966c14576b1,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Doutorado,Presencial
c3800976d29609a021fca7b0fbe0364e,Instituto de Psicologia - IP,Doutorado,Presencial
490f5e955a3b4935d7cf91abf6dec2e5,Faculdade de Medicina - FAMED,Doutorado,Educação a Distância
028db79d60d57b7303b058ed85686ab6,Centro de Educação - CEDU,Doutorado,Educação a Distância
23c5e50782bc86b28e6d52f49202ba52,Instituto de Química e Biotecnologia - IQB,Doutorado,Educação a Distância
a07874b4505a72730706abd8c772270a,Faculdade de Medicina - FAMED,Mestrado,Presencial
464dd92c2b388d183ed34f970a04db55,Faculdade de Nutrição - FANUT,Graduação (bacharelado),Presencial
1b0c2fa01af22b9eb3392c4efa466053,Centro de Tecnologia - CTEC,Doutorado,Presencial
96327401deea6f92965217487e71f274,Escola de Enfermagem e Farmácia - ESENFAR,Doutorado,Presencial
591845c3989424aef538f0f5ead609da,Instituto de Psicologia - IP,Doutorado,Presencial
a5f698ef9d76e5843ebafc8840e6726e,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
2a9dfe8cc586556b960e5c01651d0a4c,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Doutorado,Presencial
13294da826c63623202f77678d7e47df,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Doutorado,Presencial
51fde4d6f172c17ce59c059959ff6131,Faculdade de Odontologia - FOUFAL,Graduação (bacharelado),Presencial
aebda2ef9ceb52a4a6219b310753e3d0,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),Presencial
2482794f0690a0948a2220090fbdb222,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Doutorado,Presencial
1d4c2244ef54557ee96dc778750f3099,Faculdade de Serviço Social - FSSO,Doutorado,Educação a Distância
27ccd9092d9a8eb2dc3031f1323809fa,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
ffc393eba8982af71c79fb862610473f,Faculdade de Serviço Social - FSSO,Graduação (bacharelado),Presencial
44fde80f554334dc50f1c5e65bc5d891,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Doutorado,Presencial
ebeac9734e241eb14bfc8abdb5930678,Instituto de Ciências Biológicas e da Saúde - ICBS,Doutorado,Presencial
5400be3e4ec7ab52c2fa6af0134c6554,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Técnico,Presencial
e2c035bbf5e6de400c306da03f0488ac,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
b39979f10d37f4ca4006f14eaec4a439,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
4c274cd70b2e5c04cee720bfbb03bc2b,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
a186bf4987a3b8f1be01aead7d20dbcf,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
db171bae74369a6c66df5deedcfbf055,Escola de Enfermagem e Farmácia - ESENFAR,Graduação (bacharelado),Presencial
d8ef142ee71a07953d43ec27b9568e1a,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
3ef2620633fbad06ec989597d0b3f58b,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
27c3ca28cb646702236733213921eb23,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
85c8a64d4a20c5e16648cb1a3329913b,Campus CECA,Doutorado,Presencial
79b886ca1d351ac0992a1564cd161fa9,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Doutorado,Presencial
69628e4c830ad17b06094b162e07b0f5,Faculdade de Arquitetura e Urbanismo - FAU,Doutorado,Presencial
6560518f4b6fe0d41f3d9e7b9d885a8a,Faculdade de Medicina - FAMED,Doutorado,Educação a Distância
d805bbd6c0579283e850caaf2b44952b,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Doutorado,Educação a Distância
7b542cb887f3df7c0354a4ccb20435eb,Centro de Educação - CEDU,Doutorado,Presencial
e7a5aa1f07fb4cfbe43812766b0ce733,Escola de Enfermagem e Farmácia - ESENFAR,Técnico,Educação a Distância
2d02accbcb3164d38b202ba0ff09a4bb,Faculdade de Nutrição - FANUT,Doutorado,Presencial
15948dcbc5e4f76c456f7fc63fbcd54c,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
f7008a25fbef47938a629117b01b4bee,Faculdade de Medicina - FAMED,Doutorado,Presencial
e4a1e14e7ca62f121fccc0e74dd4abcc,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial
5a6671bd2844436f8d2562f9f0c28e4b,Faculdade de Medicina - FAMED,Técnico,Educação a Distância
4c5cb0df352490ff710cf0469ff9c487,Escola de Enfermagem e Farmácia - ESENFAR,Técnico,Educação a Distância
ac90ac4544c73c24005d6b42bec1c806,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
4ef1c42e6a2746c6fda8389741a79c9b,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
4993d80b38082cf2bb086ff76f68545b,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
