Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
NA,NA,NA,NA,4369,39,0.3545,3097.2986,97,0,50784.5362,120,0,0.9408,0.9267,0.9267,0.9245,0.939,0.759,0.9408,0.9408,-66826.9486,-65278.2993,133731.8973,133980.8066,4369,133856.8803,0.0841,0.0816,0.0867,0,0.0864,0.0864,0.0595,0.0595,0.0595,0.0633,0.0633,0.0595,0.0595,171.6661,187.6328,0.9255,0.8955,0.6601,0.7094,0.7268,NA,NA,NA,NA
Campus CECA,NA,NA,NA,231,39,0.4856,224.3667,97,0,2716.11,120,0,0.9509,0.9393,0.9393,0.8978,0.9174,0.7416,0.9514,0.9509,-3513.7909,-3401.6075,7105.5817,7239.836,231,7116.2281,0.0754,0.0625,0.0884,9e-04,0.0787,0.0787,0.0639,0.0639,0.0639,0.0681,0.0681,0.0639,0.0639,125.5666,137.2205,0.8992,0.8586,0.6413,0.7591,1.3089,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",NA,NA,NA,790,39,0.4008,633.2388,97,0,9072.6095,120,0,0.9401,0.9259,0.9259,0.9137,0.9302,0.7519,0.9403,0.9401,-11630.4149,-11313.7956,23338.8299,23521.0391,790,23397.1937,0.0837,0.0775,0.0899,0,0.0621,0.0621,0.0568,0.0568,0.0568,0.0605,0.0605,0.0568,0.0568,151.9412,166.0626,0.9177,0.8845,0.6545,0.7122,0.9003,NA,NA,NA,NA
"Faculdade de Economia, Administração e Contabilidade - FEAC",NA,NA,NA,224,39,0.6465,289.638,97,0,2853.4978,120,0,0.9295,0.9128,0.9128,0.8744,0.8985,0.7263,0.9301,0.9295,-3411.5276,-3266.7086,6901.0551,7034.1093,224,6910.5119,0.0942,0.0818,0.1067,0,0.0946,0.0946,0.0681,0.0681,0.0681,0.0725,0.0725,0.0681,0.0681,94.5709,103.3249,0.8715,0.8198,0.6216,0.6505,1.6412,NA,NA,NA,NA
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",NA,NA,NA,256,39,0.558,285.6811,97,0,2994.1414,120,0,0.9344,0.9188,0.9188,0.882,0.9046,0.7312,0.9349,0.9344,-4152.0897,-4009.2491,8382.1793,8520.4412,256,8396.8006,0.0872,0.0756,0.099,0,0.1148,0.1148,0.0704,0.0704,0.0704,0.075,0.075,0.0704,0.0704,109.4193,119.5625,0.8881,0.8431,0.6334,0.6918,1.4206,NA,NA,NA,NA
Faculdade de Arquitetura e Urbanismo - FAU,NA,NA,NA,264,39,0.4481,236.6188,97,0,2872.2509,120,0,0.9493,0.9372,0.9372,0.8981,0.9176,0.7417,0.9497,0.9493,-3902.1229,-3783.8136,7882.2459,8021.7079,264,7898.0582,0.0738,0.062,0.0858,7e-04,0.0583,0.0583,0.0584,0.0584,0.0584,0.0622,0.0622,0.0584,0.0584,135.9904,148.6195,0.9058,0.868,0.6461,0.7676,1.1917,NA,NA,NA,NA
Centro de Tecnologia - CTEC,NA,NA,NA,334,39,0.4066,271.6064,97,0,4252.4633,120,0,0.9577,0.9477,0.9477,0.921,0.9361,0.7567,0.958,0.9577,-4526.4262,-4390.623,9130.8524,9279.4869,334,9155.7757,0.0734,0.0632,0.0838,1e-04,0.0796,0.0796,0.0574,0.0574,0.0574,0.0611,0.0611,0.0574,0.0574,149.7835,163.703,0.917,0.8836,0.654,0.77,1.0467,NA,NA,NA,NA
Faculdade de Letras - FALE,NA,NA,NA,160,39,0.4996,159.8875,97,1e-04,2127.4037,120,0,0.9687,0.9612,0.9612,0.907,0.9248,0.7476,0.969,0.9687,-2447.5802,-2367.6365,4973.1604,5093.0922,160,4969.6326,0.0637,0.0454,0.0809,0.1028,0.1206,0.1206,0.0835,0.0835,0.0835,0.0888,0.0888,0.0835,0.0835,122.0748,133.402,0.8931,0.8502,0.637,0.8216,1.4868,NA,NA,NA,the model has close fit
Centro de Educação - CEDU,NA,NA,NA,496,39,0.4382,434.694,97,0,5460.9333,120,0,0.9368,0.9218,0.9218,0.9015,0.9204,0.744,0.937,0.9368,-7732.8809,-7515.5339,15543.7617,15707.8182,496,15584.031,0.0838,0.0758,0.0919,0,0.1537,0.1537,0.0841,0.0841,0.0841,0.0895,0.0895,0.0841,0.0841,139.0531,151.9687,0.9086,0.8718,0.648,0.7115,1.0337,NA,NA,NA,NA
Instituto de Ciências Biológicas e da Saúde - ICBS,NA,NA,NA,146,39,0.8105,236.6782,97,0,1717.4879,120,0,0.9126,0.8918,0.8918,0.8295,0.8622,0.6969,0.9138,0.9126,-2124.238,-2005.8989,4326.476,4442.8367,146,4319.4232,0.0993,0.0833,0.1154,0,0.0949,0.0949,0.0838,0.0838,0.0838,0.0892,0.0892,0.0838,0.0838,75.635,82.6176,0.8492,0.7885,0.6057,0.6198,2.1553,NA,NA,NA,NA
