Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
NA,NA,NA,NA,4369,32,0.0786,687.0212,59,0,41851.4215,78,0,0.985,0.9801,0.9801,0.9783,0.9836,0.744,0.985,0.985,-58824.5508,-58481.0402,117713.1016,117917.3348,4369,117815.6517,0.0494,0.0461,0.0527,0.6175,0.079,0.079,0.0447,0.0447,0.0447,0.0483,0.0483,0.0447,0.0447,496.5865,555.3162,0.9753,0.9618,0.6323,0.9306,0.1719,NA,NA,NA,NA
"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",NA,NA,NA,73,32,0.4206,61.4024,59,0.39,786.733,78,0,0.9966,0.9955,0.9955,0.8968,0.922,0.6974,0.9967,0.9966,-1027.0455,-996.3443,2118.091,2191.3857,73,2090.5529,0.0236,0,0.0766,0.7345,0.1163,0.1163,0.0678,0.0678,0.0678,0.0733,0.0733,0.0678,0.0678,93.6499,104.6294,0.8949,0.8379,0.5802,0.9837,1.7178,NA,NA,NA,NA
Faculdade de Odontologia - FOUFAL,NA,NA,NA,106,32,0.4551,96.4844,59,0.0015,1529.0764,78,0,0.9742,0.9658,0.9658,0.9166,0.9369,0.7087,0.9745,0.9742,-937.5575,-889.3153,1939.115,2024.3451,106,1923.2455,0.0774,0.048,0.1046,0.0605,0.1149,0.1149,0.0852,0.0852,0.0852,0.092,0.092,0.0852,0.0852,86.6163,96.7623,0.8827,0.819,0.5723,0.8379,1.514,NA,NA,NA,model fit is worse
Campus CECA,NA,NA,NA,231,32,0.2234,103.2057,59,3e-04,2243.7509,78,0,0.9796,0.973,0.973,0.9392,0.954,0.7216,0.9798,0.9796,-3051.295,-2999.6921,6166.5899,6276.7473,231,6175.3254,0.057,0.0381,0.0749,0.2522,0.1209,0.1209,0.069,0.069,0.069,0.0745,0.0745,0.069,0.069,175.4279,196.0985,0.937,0.9028,0.6075,0.9088,0.7238,NA,NA,NA,model fit is worse
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",NA,NA,NA,790,32,0.0989,156.3271,59,0,7452.9402,78,0,0.9868,0.9826,0.9826,0.9723,0.979,0.7405,0.9868,0.9868,-10180.1978,-10102.0343,20424.3957,20573.9007,790,20472.2839,0.0457,0.0371,0.0545,0.7825,0.0771,0.0771,0.0532,0.0532,0.0532,0.0575,0.0575,0.0532,0.0532,394.8224,441.4924,0.9696,0.9531,0.6286,0.9403,0.2789,NA,NA,NA,NA
Instituto de Química e Biotecnologia - IQB,NA,NA,NA,120,32,0.373,89.5187,59,0.0063,1258.3015,78,0,0.9741,0.9658,0.9658,0.9059,0.9289,0.7026,0.9746,0.9741,-1431.5791,-1386.8197,2927.1581,3016.3578,120,2915.1891,0.0657,0.0355,0.0921,0.1727,0.1444,0.1444,0.0881,0.0881,0.0881,0.0951,0.0951,0.0881,0.0881,105.466,117.8458,0.9036,0.8513,0.5858,0.8806,1.2793,NA,NA,NA,model fit is worse
"Faculdade de Economia, Administração e Contabilidade - FEAC",NA,NA,NA,224,32,0.2481,111.168,59,0,2328.1663,78,0,0.9768,0.9693,0.9693,0.9369,0.9523,0.7203,0.977,0.9768,-3019.7446,-2964.1606,6103.4891,6212.6618,224,6111.2485,0.0628,0.0446,0.0806,0.1168,0.1433,0.1433,0.073,0.073,0.073,0.0789,0.0789,0.073,0.073,158.0276,176.6362,0.93,0.892,0.6029,0.8901,0.782,NA,NA,NA,model fit is worse
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",NA,NA,NA,256,32,0.1848,94.6169,59,0.0022,2364.186,78,0,0.9844,0.9794,0.9794,0.9471,0.96,0.7261,0.9845,0.9844,-3566.5798,-3519.2714,7197.1596,7310.6053,256,7209.1566,0.0486,0.0293,0.0662,0.5316,0.1127,0.1127,0.0595,0.0595,0.0595,0.0643,0.0643,0.0595,0.0595,211.8526,236.8398,0.9443,0.9141,0.6123,0.9328,0.6196,NA,NA,NA,NA
Faculdade de Arquitetura e Urbanismo - FAU,NA,NA,NA,264,32,0.1639,86.5408,59,0.0113,2307.6626,78,0,0.9876,0.9837,0.9837,0.9504,0.9625,0.728,0.9878,0.9876,-3441.1394,-3397.8691,6946.2789,7060.7092,264,6959.253,0.042,0.0206,0.0602,0.7461,0.0457,0.0457,0.0447,0.0447,0.0447,0.0483,0.0483,0.0447,0.0447,238.7337,266.9064,0.9536,0.9285,0.6183,0.9492,0.5702,NA,NA,NA,NA
Centro de Tecnologia - CTEC,NA,NA,NA,334,32,0.1352,90.311,59,0.0054,3567.5663,78,0,0.991,0.9881,0.9881,0.9665,0.9747,0.7373,0.9911,0.991,-4054.0653,-4008.9098,8172.1306,8294.0871,334,8192.5804,0.0399,0.022,0.0556,0.8452,0.0858,0.0858,0.0553,0.0553,0.0553,0.0598,0.0598,0.0553,0.0553,289.2128,323.3675,0.9598,0.938,0.6223,0.9542,0.462,NA,NA,NA,NA
