Unidade,n,df,chisq,AGFI,TLI,CFI,SRMR,RMSEA,CI.lwr,CI.upr,p
Centro de Educação - CEDU,496,48,179.6414,0.9453,0.9005,0.9276,0.0925,0.0744,0.063,0.0862,3e-4
"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",73,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Faculdade de Odontologia - FOUFAL,106,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Campus CECA,232,48,138.3338,0.9296,NA,NA,0.1598,0.0903,0.0729,0.108,1e-4
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",790,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
"Faculdade de Economia, Administração e Contabilidade - FEAC",224,48,152.3534,0.9611,NA,NA,0.1482,0.0987,0.0813,0.1166,0
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",256,48,106.0925,0.9412,NA,NA,0.1082,0.0689,0.0512,0.0866,0.0403
Faculdade de Nutrição - FANUT,98,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Centro de Tecnologia - CTEC,334,48,135.7785,0.9312,NA,NA,0.2344,0.0741,0.0596,0.0889,0.0039
Instituto de Ciências Biológicas e da Saúde - ICBS,146,48,100.0364,0.9361,NA,NA,0.1436,0.0865,0.0625,0.1103,0.0082
Instituto de Educação Física e Esporte - IEFE,77,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Faculdade de Medicina - FAMED,199,48,142.5263,0.9259,NA,NA,0.1705,0.0997,0.0811,0.1188,0
Instituto de Física - IF,31,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Instituto de Ciências Atmosféricas - ICAT,66,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Faculdade de Direito - FDA,99,48,141.8395,0.9748,NA,NA,0.1814,0.1412,0.1147,0.1684,0
Instituto de Matemática - IM,37,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Escola de Enfermagem e Farmácia - ESENFAR,71,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Faculdade de Serviço Social - FSSO,39,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Instituto de Computação - IC,59,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
Instituto de Ciências Sociais - ICS,38,48,216.1428,0.9447,NA,NA,0.0933,0.0666,0.0577,0.0758,0.0012
