group,value.of.group,mdl,n,chisq,df,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,cfi.robust,tli.robust,rmsea.robust,rmsea.ci.lower.robust,rmsea.ci.upper.robust,diff Chisq multi-mdl,diff df multi-mdl,Pr(>Chisq) multi-mdl,diff Chisq efa-mdl,diff df efa-mdl,Pr(>Chisq) efa-mdl,diff Chisq theoretical_mdl,diff df theoretical_mdl,Pr(>Chisq) theoretical_mdl,obs,err
Unidade,Faculdade de Odontologia - FOUFAL,multi-mdl,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lavaan ERROR: some variables have no values (only missings) or no variance
Unidade,Faculdade de Odontologia - FOUFAL,efa-mdl,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lavaan ERROR: some variables have no values (only missings) or no variance
Unidade,Faculdade de Odontologia - FOUFAL,theoretical_mdl,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lavaan ERROR: some variables have no values (only missings) or no variance
Unidade,Campus CECA,multi-mdl,231,208.4943,89,0.954,0.9379,0.0762,0.0628,0.0897,0.9546,0.9388,0.0753,0.0615,0.0891,NA,NA,NA,68.630996631214785,10,8.142989194597004e-11,14.904807354088685,8,0.06102306596994032,NA,NA
Unidade,Campus CECA,efa-mdl,231,268.3033,99,0.9348,0.921,0.086,0.0738,0.0985,0.9347,0.9209,0.0856,0.0732,0.0982,68.630996631214785,10,8.142989194597004e-11,NA,NA,NA,450.1062080096362,2,1.822547246551468e-98,NA,NA
Unidade,Campus CECA,theoretical_mdl,231,224.3667,97,0.9509,0.9393,0.0754,0.0625,0.0884,0.9518,0.9403,0.0743,0.0611,0.0876,14.904807354088685,8,0.06102306596994032,450.1062080096362,2,1.822547246551468e-98,NA,NA,NA,NA,NA
Unidade,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",multi-mdl,790,605.6648,89,0.9423,0.9222,0.0857,0.0793,0.0923,0.9414,0.921,0.0862,0.0801,0.0925,NA,NA,NA,152.19317127343015,10,1.318402331878571e-27,26.099310012418783,8,0.0010099776758765201,NA,NA
Unidade,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",efa-mdl,790,749.46,99,0.9273,0.9119,0.0912,0.0852,0.0974,0.9264,0.9108,0.0917,0.0858,0.0976,152.19317127343015,10,1.318402331878571e-27,NA,NA,NA,233.32927242548936,2,2.1537349692285806e-51,NA,NA
Unidade,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",theoretical_mdl,790,633.2388,97,0.9401,0.9259,0.0837,0.0775,0.0899,0.9393,0.92490000000000006,0.0841,0.0782,0.0902,26.099310012418783,8,0.0010099776758765201,233.32927242548936,2,2.1537349692285806e-51,NA,NA,NA,NA,NA
Unidade,Instituto de Química e Biotecnologia - IQB,multi-mdl,120,238.777,89,0.9044,0.8711,0.1184,0.1004,0.1367,0.9069,0.8745,0.1159,0.097,0.135,NA,NA,NA,35.877543459263094,10,8.835352361829876e-5,NA,NA,NA,*,NA
Unidade,Instituto de Química e Biotecnologia - IQB,efa-mdl,120,268.0429,99,0.8921,0.8692,0.1193,0.1022,0.1366,0.8932,0.8706,0.1177,0.1001,0.1355,35.877543459263094,10,8.835352361829876e-5,NA,NA,NA,NA,NA,NA,*,NA
Unidade,Instituto de Química e Biotecnologia - IQB,theoretical_mdl,120,250.7727,97,0.9018,0.8785,0.1149,0.0976,0.1325,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA
Unidade,"Faculdade de Economia, Administração e Contabilidade - FEAC",multi-mdl,224,277.2142,89,0.9311,0.9072,0.0972,0.0843,0.1102,0.9288,0.904,0.0988,0.0865,0.1112,NA,NA,NA,136.8501252265275,10,1.8611338037798766e-24,11.198889051719132,8,0.19068253828648046,NA,NA
Unidade,"Faculdade de Economia, Administração e Contabilidade - FEAC",efa-mdl,224,391.3774,99,0.893,0.8704,0.1148,0.103,0.1269,0.8901,0.8667,0.1164,0.1051,0.1278,136.8501252265275,10,1.8611338037798766e-24,NA,NA,NA,NA,2,NA,*,NA
Unidade,"Faculdade de Economia, Administração e Contabilidade - FEAC",theoretical_mdl,224,289.638,97,0.9295,0.9128,0.0942,0.0818,0.1067,0.9275,0.9103,0.0955,0.0835,0.1076,11.198889051719132,8,0.19068253828648046,NA,2,NA,NA,NA,NA,NA,NA
Unidade,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",multi-mdl,256,265.1315,89,0.9387,0.9174,0.0879,0.0758,0.1002,0.9381,0.9166,0.0882,0.0762,0.1004,NA,NA,NA,69.09815561856135,10,6.618578765820322e-11,20.487756230980292,8,0.008640106335814962,NA,NA
Unidade,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",efa-mdl,256,331.2065,99,0.9192,0.9021,0.0957,0.0845,0.1072,0.9184,0.9011,0.096,0.0848,0.1074,69.09815561856135,10,6.618578765820322e-11,NA,NA,NA,59.18849149905299,2,1.4040493567921779e-13,NA,NA
Unidade,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",theoretical_mdl,256,285.6811,97,0.9344,0.9188,0.0872,0.0756,0.099,0.9337,0.918,0.0874,0.0758,0.0991,20.487756230980292,8,0.008640106335814962,59.18849149905299,2,1.4040493567921779e-13,NA,NA,NA,NA,NA
Unidade,Faculdade de Arquitetura e Urbanismo - FAU,multi-mdl,264,229.9484,89,0.9488,0.931,0.0775,0.0652,0.0898,0.9433,0.9235,0.0813,0.0705,0.0924,NA,NA,NA,53.48419335304453,10,6.052593119161779e-8,7.082207377155215,8,0.5277896845414335,NA,NA
Unidade,Faculdade de Arquitetura e Urbanismo - FAU,efa-mdl,264,268.532,99,0.9384,0.9253,0.0805,0.0691,0.0922,0.9318,0.9174,0.0845,0.0744,0.0948,53.48419335304453,10,6.052593119161779e-8,NA,NA,NA,NA,2,NA,NA,NA
