DispositivoEmCasa,n,factor,raw_alpha,std.alpha,G6(smc),average_r,S/N,ase,mean,sd,median_r
Não Tem Nemhum Dispositivo,597,all,0.7,0.74,0.89,0.18,2.89,0.02,1.45,0.56,0.09
Não Tem Nemhum Dispositivo,597,WLS1,0.87,0.98,0.97,0.95,52.27,0,0.33,0.91,0.95
Não Tem Nemhum Dispositivo,597,WLS2,0.73,0.85,0.8,0.66,5.77,0.01,1.99,1.03,0.69
Não Tem Nemhum Dispositivo,597,WLS3,0.8,0.92,0.89,0.8,11.8,0.01,2.17,1.08,0.8
Não Tem Nemhum Dispositivo,597,WLS4,0.53,0.53,0.36,0.36,1.12,0.04,1.35,1.08,0.36
Não Tem Nemhum Dispositivo,597,WLS5,0.88,0.89,0.79,0.79,7.74,0.01,1.38,1.07,0.79
Não Tem Nemhum Dispositivo,597,WLS1+WLS3+WLS4+WLS5,0.72,0.76,0.89,0.24,3.17,0.02,1.29,0.63,0.15
Dispositivo Compartilhado,1879,all,0.73,0.75,0.87,0.19,3.07,0.01,1.85,0.6,0.11
Dispositivo Compartilhado,1879,WLS1,0.88,0.98,0.98,0.96,63.85,0,0.68,1.24,0.95
Dispositivo Compartilhado,1879,WLS2,0.71,0.83,0.77,0.61,4.77,0.01,2.01,1,0.62
Dispositivo Compartilhado,1879,WLS3,0.64,0.77,0.7,0.53,3.33,0.01,2.75,0.65,0.5
Dispositivo Compartilhado,1879,WLS4,0.57,0.57,0.4,0.4,1.35,0.02,1.87,1.2,0.4
Dispositivo Compartilhado,1879,WLS5,0.89,0.89,0.8,0.8,8.11,0.01,2,1.18,0.8
Dispositivo Compartilhado,1879,WLS1+WLS3+WLS4+WLS5,0.76,0.79,0.88,0.27,3.72,0.01,1.8,0.7,0.22
Dispositivo Próprio,1893,all,0.74,0.75,0.87,0.19,3.07,0.01,2.1,0.63,0.12
Dispositivo Próprio,1893,WLS1,0.87,0.99,0.98,0.96,71.42,0,0.88,1.41,0.96
Dispositivo Próprio,1893,WLS2,0.7,0.83,0.77,0.61,4.72,0.01,2.16,1,0.62
Dispositivo Próprio,1893,WLS3,0.63,0.75,0.69,0.5,2.96,0.01,3.01,0.61,0.43
Dispositivo Próprio,1893,WLS4,0.6,0.61,0.44,0.44,1.57,0.02,2.2,1.25,0.44
Dispositivo Próprio,1893,WLS5,0.89,0.89,0.8,0.8,7.85,0.01,2.38,1.22,0.8
Dispositivo Próprio,1893,WLS1+WLS3+WLS4+WLS5,0.76,0.79,0.88,0.27,3.67,0.01,2.08,0.74,0.21
