Modalidade,n,factor,raw_alpha,std.alpha,G6(smc),average_r,S/N,ase,mean,sd,median_r
Presencial,4215,all,0.75,0.78,0.89,0.21,3.56,0.01,1.89,0.64,0.14
Presencial,4215,WLS1,0.87,0.99,0.98,0.96,70.26,0,0.69,1.27,0.96
Presencial,4215,WLS2,0.7,0.82,0.77,0.61,4.6,0,2.08,0.99,0.61
Presencial,4215,WLS3,0.71,0.84,0.79,0.64,5.28,0,2.78,0.77,0.6
Presencial,4215,WLS4,0.6,0.6,0.43,0.43,1.49,0.01,1.9,1.23,0.43
Presencial,4215,WLS5,0.9,0.9,0.81,0.81,8.72,0,2.06,1.23,0.81
Presencial,4215,WLS1+WLS3+WLS4+WLS5,0.78,0.81,0.9,0.3,4.32,0,1.83,0.75,0.23
Educação a Distância,154,all,0.77,0.79,0.9,0.22,3.74,0.03,2.29,0.69,0.18
Educação a Distância,154,WLS1,0.85,0.96,0.95,0.9,27.49,0.01,1.63,1.43,0.9
Educação a Distância,154,WLS2,0.83,0.95,0.94,0.86,17.91,0.01,1.85,1.34,0.86
Educação a Distância,154,WLS3,0.58,0.68,0.61,0.41,2.1,0.03,2.85,0.58,0.33
Educação a Distância,154,WLS4,0.71,0.71,0.55,0.55,2.41,0.05,3.02,1.12,0.55
Educação a Distância,154,WLS5,0.86,0.86,0.75,0.75,6,0.02,2.37,1.17,0.75
Educação a Distância,154,WLS1+WLS3+WLS4+WLS5,0.75,0.76,0.86,0.24,3.21,0.03,2.42,0.71,0.2
