Nivel,n,factor,raw_alpha,std.alpha,G6(smc),average_r,S/N,ase,mean,sd,median_r
Graduação (bacharelado),2617,all,0.75,0.78,0.88,0.22,3.58,0.01,1.9,0.63,0.14
Graduação (bacharelado),2617,WLS1,0.87,0.99,0.98,0.97,87.13,0,0.62,1.25,0.96
Graduação (bacharelado),2617,WLS2,0.66,0.78,0.72,0.54,3.57,0.01,2.11,0.93,0.53
Graduação (bacharelado),2617,WLS3,0.7,0.83,0.78,0.62,4.98,0,2.82,0.74,0.59
Graduação (bacharelado),2617,WLS4,0.59,0.59,0.42,0.42,1.47,0.02,1.92,1.22,0.42
Graduação (bacharelado),2617,WLS5,0.9,0.9,0.81,0.81,8.6,0,2.09,1.23,0.81
Graduação (bacharelado),2617,WLS1+WLS3+WLS4+WLS5,0.77,0.8,0.9,0.29,4.06,0.01,1.83,0.73,0.2
Graduação (licenciatura),1316,all,0.74,0.77,0.89,0.21,3.37,0.01,1.81,0.63,0.14
Graduação (licenciatura),1316,WLS1,0.88,0.98,0.98,0.95,58.12,0,0.66,1.21,0.95
Graduação (licenciatura),1316,WLS2,0.73,0.86,0.81,0.67,5.96,0.01,2.07,1.05,0.69
Graduação (licenciatura),1316,WLS3,0.72,0.86,0.8,0.67,5.99,0.01,2.66,0.81,0.64
Graduação (licenciatura),1316,WLS4,0.58,0.58,0.41,0.41,1.39,0.02,1.83,1.23,0.41
Graduação (licenciatura),1316,WLS5,0.89,0.89,0.81,0.81,8.34,0.01,1.82,1.2,0.81
Graduação (licenciatura),1316,WLS1+WLS3+WLS4+WLS5,0.78,0.81,0.9,0.3,4.28,0.01,1.72,0.74,0.22
Mestrado,251,all,0.75,0.77,0.89,0.21,3.39,0.02,2.16,0.67,0.16
Mestrado,251,WLS1,0.87,0.98,0.97,0.93,42.44,0,1.28,1.48,0.93
Mestrado,251,WLS2,0.83,0.93,0.91,0.82,13.22,0.01,1.66,1.28,0.82
Mestrado,251,WLS3,0.61,0.65,0.62,0.39,1.9,0.02,2.95,0.6,0.26
Mestrado,251,WLS4,0.68,0.69,0.53,0.53,2.26,0.04,2.44,1.23,0.53
Mestrado,251,WLS5,0.85,0.85,0.73,0.73,5.52,0.02,2.76,0.99,0.73
Mestrado,251,WLS1+WLS3+WLS4+WLS5,0.79,0.8,0.88,0.29,4.08,0.02,2.31,0.75,0.25
Doutorado,146,all,0.76,0.78,0.89,0.21,3.45,0.03,2.36,0.65,0.15
Doutorado,146,WLS1,0.85,0.96,0.95,0.9,27.07,0.01,1.75,1.43,0.89
Doutorado,146,WLS2,0.75,0.88,0.84,0.71,7.3,0.02,2.13,1.1,0.75
Doutorado,146,WLS3,0.68,0.8,0.75,0.57,3.94,0.02,2.99,0.63,0.49
Doutorado,146,WLS4,0.67,0.67,0.5,0.5,2.02,0.05,2.25,1.29,0.5
Doutorado,146,WLS5,0.81,0.81,0.68,0.68,4.29,0.03,2.79,0.95,0.68
Doutorado,146,WLS1+WLS3+WLS4+WLS5,0.75,0.78,0.87,0.26,3.45,0.03,2.43,0.71,0.22
